id,description_clean,nb_emojis,emojis_list,nb_alert_emojis,label_manuel,notes
149,"DescriptionA vendre villa neuve plain-pied à Houmt souk Djerba ZU Vis-à-Vis Immobilier vous propose une superbe villa plain-pied d'une surface de 140 m² 24 m² garage bâtie sur un terrain de 390 m². La villa se compose d'un bel espace de vie spacieux et lumineux : un salon convivial, une cuisine avec un espace repas et 1 salle d'eau. La partie nuit : 1 suite parentale avec sa salle d'eau privative et dressing et 2 chambres confortables. Avantages : un jardin autour, terrasse , un garage de 24 m² , éclairage public , emplacement idéal vers l'aéroport à 4 min à école Hachène - 1km à Victor Hugo. NB frais d'agence en plus",0,,0,neutre_positif,
3156,"local commercial 130m² à la marsa gold carthage immobilière met à votre disposition pour la location un local commercial de superficie 130m² situé à la marsa sur accès principal dans une rue active. ce local est a l'état brut, il est destiné pour plusieurs activités sauf restauration. le local possède une bonne façade, il s'agit d'une location simple (sans pas-de-porte) loyer 6000 dinars/mois hors retenue pour plus d'informations, veuillez nous contacter au: 52083333-25073189",0,,0,positif,
4346,"a louer a l année , découvrez cette magnifique demeure idéalement située au cœur de la prestigieuse marina de yasmine hammamet, offrant un cadre de vie raffiné, calme et sécurisé. avec son architecture élégante et ses espaces intérieurs lumineux, cette résidence constitue un lieu idéal aussi bien pour une location annuelle que pour une location vacances. la propriété se distingue par son architecture contemporaine aux lignes épurées, ses espaces lumineux et son jardin soigneusement entretenu avec piscine à débordement. composition de la demeure vaste salon avec vue dégagée sur la marina le jardin salle à manger conviviale et lumineuse cinq chambres a couchers dont une suite parentale avec balcon , terrasse cuisine bien t équipée trois salles de bains terrasse aménagée idéale pour les moments de détente jardin privatif vue sur la marina accès direct aux quais",0,,0,positif,
4621,av 3 garages commerciale sur la route goudronné à hammamet sud . 1 compteur d'eau et 2 compteurs d'électricité. superficie: 290m prix: 205md négociable pour plus d'infos appelez: 99958728/ 99202001 whatsapp: 99202001,0,,0,neutre_negatif,
2785,à louer un studio s1 situé à megrine ben arous il occupe le réez de chaussée avec une entrée indépendante son emplacement est résidentiel. loyer mensuel : 600 dt contacter le 53 33 85 15 le whatsapp 97 72 90 08,0,,0,neutre_positif,
3622,"offre exclusif pour étranger. propriétaire offre pour un étranger une location à l'année d'un appartement s2 bien et luxueusement meublé . situé au 1er étage à la résidence riadh ennasr2, très proche du magasin général gouvernorat d'ariana, sécurisée gardée jours et nuits avec double ascenseurs. appartement de haut standing, état neuf bien lumineux et ensoleillé . se compose de : une entrée, une cuisine indépendante bien équipée ( réfrigérateur micro-ondes fourmachine à laver séchoir. 2 chambres de nuits dont une chambre avec un balcon. un salon une salle de bains. un grand terrasse avec des bacs de plantes très jolies. 2 places de parking au sous-sol. equipé de chauffage central 3 climatiseurs une connexion internet par wifi illimitée télé lcd avec récepteur numérique. prix du loyer à l'année 1600 dt /mois avec 2mois de caution . gsm propriétaire 216 55690000",0,,0,negatif,
170,"DescriptionVilla Teresa AV1891 A vendre une villa avec piscine située à Hammamet dans un quartier calme, résidentiel et bien accessible. Répartie dur trois niveaux, elle offre au rez-de-chaussée un spacieux salon salle à manger ouvert sur une belle cuisine américaine bien aménagée, une chambre à coucher et une salle d'eau. A l'étage on trouve une grande suite parentale avec un dressing et une salle de d'eau ainsi qu'une belle terrasse, deux chambres à coucher et une salle de bain commune. Quant au 2ème étage il est répartie en une grande suite avec un dressing, salle d'eau et une grande terrasse. La villa est équipée de climatisation et de chauffage central et elle dispose d'un parking pour deux voitures, d'une piscine et d'un jardin gazonnée. Prix : 1 200 000 DT Pour toutes informations nécessaires et éventuelle visite, vous pouvez nous contacter sur le 00216 50 844 610 / 22 605 844 ou par email à mouinimmobilier2016 gmail.com Agence Mouin Immobilier International Vous trouverez toutes nos offres en visitant notre site web www.mouin-immobilier.com",0,,0,positif,
4099,a vendre une villa a cité esken ben arous sur avenue principale ( av farhat hached ) vocation r 4 surface : 374 m² composé: batie rdc 140 m² garage studio,0,,0,neutre_negatif,
212,"DescriptionVilla Malak AV1973 A vendre une belle demeure récemment construite située à Hammamet Zone Theatre dans un quartier calme et verdoyant et avec de bon voisinage. Batie sur un terrain de 1200m2 d'une belle architecture arabesque modernisée avec ses arcades, coupoles et voutes croisées. Érigée sur deux niveaux, elle dispose d'une entrée à porte blindée et offre au rez de chaussée un spacieux et lumineux salon - salle à manger avec un coin cheminée ouvert sur une terrasse couverte qui donne sur la piscine, une cuisine moderne installée, une buanderie, un grand dressing dans le couloir, une belle suite parentale avec un dressing et une grande salle de bain, une chambre de service avec salle d'eau et une salle d'eau invités. Quant à l'étage on trouve une belle suite avec un dressing et une grande terrasse, deux chambres à coucher avec des dressing, une salle de bain commune et une grande terrasse sur le toit supérieur. La villa est équipée de climatisation, de chauffage central, chauffe eau solaire Soften et d'un système d'alarme et elle dispose à l'extérieur d'un jardin gazonné et arboré avec arrosage automatique , une piscine, une douche exterieure, un débarras, une loge gardien et un garage pour 2 voitures. Prix : 2 500 000 DT Pour toutes informations nécessaires et éventuelle visite, vous pouvez nous contacter sur le 00216 29 105 844 / 55 844 605 Agence Mouin Immobilier International",0,,0,positif,
2618,la soukra chotrana 3 côté restaurant elfirma dans un lotissement: a vendre terrain clôturé r 2 superficie : 826 m² prix :1050 dt/m² pour plus d'informations veuillez contacter l'agence tunital immobilière : (00216)22704893 (whatsapp) / 71983000. nous serons là pour vous aider à faire le bon choix. quel que soit votre budget nous ferons de notre mieux pour vous servir. les visites sur rdv svp,0,,0,neutre_positif ,
3824,"donnant directement sur la gp1 au niveau de oued el ourouk akouda , local de 2 niveaux open ,d'une superficie de 1500 m² couverts , rez de chaussée de 600 m² couverts , l'étage 900 m²couverts ,7 bureaux , 4 blocs sanitaires parking extérieur , façade de 30 m, local convient salles d'exposition , centre d'appel,centre de formation, ecole . loyer mensuel demandé 5000 dt plus 250 000 dt fonds de commerce . intéressés s'adresser à l'immobilière du lac h-sousse au 216 73 370 942 où 216 99 904 113 et 216 23 713 406.",0,,0,neutre_positif,
3065,terrain agricole à lansarine teborba sur la route goudronnée d'une superficie de 42 ha a 35 milles dinars l'hectare. le terrain est a 40 km de tunis. titre bleu et une bonne qualité de terre.,0,,0,neutre_positif,
3810,seven real estate vous propose à la location un local commercial de 54 m² à chotrana 2. le local dispose d'une salle d?eau et d?un grand dépôt au sous sol. le loyer mensuel net est de 2800 dt 1 pieces.,0,,0,neutre_negatif,
1431,"Description New Key La Soukra met à la location un bureau A 3 dans un immeuble bureautique bien sécurisé proche de toutes commodités à Ain Zaghouan nord. Il se compose d'un accueil qui donne sur une grande terasse , d'une cuisine, de 03 bureaux et d'une salle d'eau et une salle de bain. Une place de parking est à l'extérieur.",0,,0,neutre_positif,
740,Description L'agence immobilière Century 21 Masters vous propose pour la location un appartement en S 1 situé au centre urbain nord Il se compose de : Un salon Une cuisine aménagée et équipée Une Chambre à coucher Une salle de douche Chauffage central Climatisation split système Pour plus d'informations veuillez nous contacter sur le : 216 51 715 757 / 216 23 221 222,0,,0,neutre_positif,
1422,"Description New Key La Soukra met à la vente un terrain de 4186 m², une opportunité d'investissement bien situé à La Soukra. Vente en totalité Ou bien Vente par lot de 400 à 500m2 à 750DT le m² Foncier clair et sécurisé : Acte de partage établi Papiers en règle Zone UM (polyfonctionnelle), idéal pour un projet de résidence, commerces,................",0,,0,positif,
2224,agence immobilière elkarama met en vente une maison qui se compose d'un salon trois chambres à coucher avec placard salle de bain cuisine bien équipée manchar avec garage de voiture au centre de sidi mesbah prés station de bus et lycée ebno mandhour a 300m de la route mornag tunis pour plus d'informations contactez93731099,0,,0,neutre_positif,
2124,"immeuble neuf haut standing au pôle technologique el ghazala l'agence darek immobilière vous propose à la location un immeuble neuf haut standing, à la pointe de la technologie, situé au pôle technologique el ghazala. surface totale : 6 750 m² surface utile : 5 115 m² immeuble r 5 entièrement dédié aux bureaux caractéristiques : 1220 m2 par étage plateaux open space optimisés sans poutres staff accoustique faux plancher technique toilettes et kitchenettes à chaque étage climatisation centrale pré-câblage informatique complet double vitrage pour une isolation thermique et sonore optimale orientation est et sud offrant une excellente luminosité parking en sous-sol poste transfo et groupe électrogène jardin arboré et aménagé accès rapide via la route gp10 transports en commun à 7 minutes loyer : 127875 dt ht / mois pour plus d'informations ou pour organiser une visite, merci de contacter notre agence au : 51 603 900 / 99 603 906/ 51 614 130",0,,0,positif,
1471,"Description New Key La Soukra met à la vente des appartements S 1, S 2 et S 3 de trés haut standing dans un cartier résedentiel agréable idéalement situé à La Soukra emplacement pratique avec des différents typologie et superficie. -Les Appartements S 1 : de 48m² à 70m² -Les Appartements S 2 : de 101m² à 131m² -Les Appartements S 3 : de 155m² à 170m² Place de parking au sous sol classique à 25.000Dt Place de parking améliorée avec un espace qui peut servir comme celier à 35.000Dt Remise des clés Fin 2026",0,,0,neutre_positif,
4142,"notre agence ranime immo vous propose pour la vente un lot de terrain constructible avec vue orienté par la mer, aménagé par la municipalité et autorisé a bâtir et d'un seul propriétaire a la plage d'el haouaria de surface 301m2. -ce lot de terrain s'éloigne 200m au bord de la plage et situé dans quartier touristique, calme dans lieu stratégique prêt du restaurant le pécheur de vue panoramique de la plage et de la montagne. ce lot de terrain est équipé par électricité, eau et d'un seul propriétaire. dossier foncière réglé . le prix est 130 000dt pour les sérieux. notre agence est à votre disposition pour toutes informations et conseils nécessaires afin de disposer du bien. occasion a ne pas rater. tél : 216 23452279 whatsapp : 216 98368348 fcb : ranime immo",0,,0,neutre_negatif,
4439,"go immo mutuelle ville vous propose la location d'une villa à usage de bureaux sup 300 m² bénéficie d' une emplacement stratégique sur un artère principale à mutuelle ville cette villa est composée de 6 pièces de bureau,deux salles d'eau et une kitchenette.",0,,0,neutre_positif,
5040,DescriptionÀ louer Manar1 résidence gardée Hannibal Au rez-de-chaussée appartement une chambre Salon cuisine salle d'eau séchoir avec parking privé gardé loyer 700 Drs payable par trimestre tél tél 23073282,0,,0,neutre_negatif,
2551,"le patio immobilier tunisie propose à la location un appartement s 1 avec jardin au lac 2 composition : salon donnant sur le jardin cuisine entièrement équipée : plaque de cuisson, hotte, four, lave-vaisselle séchoir chambre à coucher avec dressing salle de bain avec jacuzzi équipements : climatisation split chauffage central place de parking en sous-sol détails supplémentaires : superficie : 100 m² (rez-de-chaussée) jardin : 20 m² loyer : 1 650 dt",0,,0,positif,
870,"Description Agence immobilière Century 21 INVEST vous propose pour la location un appartement S 3 aux Jardins de Carthage. Il se compose : Un salon avec balcon. Une cuisine équipée avec séchoir . Une salle d'eau pour les invités. Une suite parentale avec son dressing et sa salle de douche à l'italienne. Deux chambres à coucher avec leurs dressings. Climatisation et chauffage centrales Une place de parking est disponible au sous-sol. Pour plus d'informations , veuillez nous contacter au 216 50 950 000",0,,0,neutre_positif,
4813,"369univers.a.i, agence immobilière située à la marsa, vous propose à la location une villa avec piscine à gammarth. elle se compose comme sui: - au rez-de-chaussée: un salon, un séjour avec terrasse, une cuisine équipée avec terrasse, une salle d'eau invités, -à l'étage: une suite parentale et 2 suites junior, - au sous-sol: un open-space, une chambre de service et une salle de bain, - à l'extérieur: une piscine, un jardin, une terrasse et un garage.",0,,0,neutre_positif,
3420,à louer : villa s 4 à gammarth avec vue mer et piscine cette villa se compose de : un salon donnant directement sur la piscine un séjour pouvant être aménagé comme chambre séparée une cuisine une suite pour le personnel de service à l'étage : une suite parentale avec salle de bain deux chambres à coucher avec salle de bain commune une terrasse extérieur : piscine abris de voiture jardin loyer : 7 000 dt / mois contacter : agence villa (agence immobilière agréée) tél : 29 387 777,0,,0,positif,
342,"Description Excellente opportunité à saisir ! L'agence immobilière Century 21 Invest vous propose pour la vente un terrain destiné à la promotion immobilière, situé à Sidi Daoud. Vocation : R 2 Prix : 1 600 DT/m² Pour plus d'informations, veuillez nous contacter au 216 50 950 000.",0,,0,neutre négatif,
3618,"à vendre une magnifique maison de plain-pied,, située en première position sur la plage.",0,,0,neutre_negatif,
3244,"sur la route mc26 km6 soliman tunis, local 27/16m2 avec 2 bureaux et sanitaire ( atelier 440m2 bureaux 70m2 ) avec possibilité d'extension peut être utilisé comme dépôt de stockage,usine.. loyer 2300 dt/mois",0,,0,neutre_positif,
680,"Description L'agence immobilière Century 21 Karaouli vous propose à la location un appartement S 1 situé à Ennasr 2. Ce bien se compose de : Un salon Une chambre à coucher Une cuisine avec séchoir Une salle de bain Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous contacter au : 216 54 707 733 / 216 54 707 471",0,,0,neutre_positif,
