property_id,source_name,region_norm,anomaly_score,is_anomaly,fraud_score,fraud_flags,regional_context,model_version
tunisieannonce_bae8f9e80dc3,tunisieannonce,tunis,0.1617,False,3.79,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_ba2ed486b646,tunisieannonce,tunis,0.0947,False,13.08,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_baf74652c7a0,tunisieannonce,tunis,0.1734,False,3.02,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be647a409cd8,tunisieannonce,tunis,0.0397,False,31.14,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_ba24549afa8f,tunisieannonce,tunis,0.1569,False,4.16,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb08906b6e5f,tunisieannonce,tunis,0.1152,False,9.08,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_baede9316909,tunisieannonce,tunis,0.1737,False,3.01,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bae4cc19facb,tunisieannonce,tunis,0.1645,False,3.59,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bfdb8c005f69,tunisieannonce,tunis,0.0426,False,29.91,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb86f131a14c,tunisieannonce,tunis,0.184,False,2.46,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb37955c6db6,tunisieannonce,tunis,0.1656,False,3.52,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb7774a57fb9,tunisieannonce,tunis,0.1819,False,2.56,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb94af359273,tunisieannonce,tunis,0.1706,False,3.19,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb0a01144f78,tunisieannonce,tunis,0.0812,False,16.47,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb60ae92cc53,tunisieannonce,tunis,0.0839,False,15.74,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb4f5c97bedb,tunisieannonce,tunis,0.1595,False,3.95,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bb7cbf02a8c4,tunisieannonce,tunis,0.1442,False,5.3,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bc685c9fdb76,tunisieannonce,tunis,-0.0324,True,65.66,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bccf783b8b4f,tunisieannonce,tunis,0.1689,False,3.3,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bbd3f3d62188,tunisieannonce,tunis,0.1569,False,4.15,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bbfaf4480f90,tunisieannonce,tunis,0.0943,False,13.17,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bc2240795d60,tunisieannonce,tunis,0.1649,False,3.57,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bbc24f0ba468,tunisieannonce,tunis,0.1272,False,7.28,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bc9fa0218254,tunisieannonce,tunis,0.1689,False,3.3,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bc176c1143ae,tunisieannonce,tunis,0.147,False,5.02,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bd6fced40db5,tunisieannonce,tunis,0.1514,False,4.62,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bd880a7b7baa,tunisieannonce,tunis,0.0857,False,15.25,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bdabf3d1438b,tunisieannonce,tunis,0.1035,False,11.21,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bdb0ae4322f3,tunisieannonce,tunis,0.1181,False,8.61,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bdc26f44286d,tunisieannonce,tunis,0.0275,False,36.58,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bd7082879374,tunisieannonce,tunis,0.1332,False,6.52,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be4ec2cd6195,tunisieannonce,tunis,0.0559,False,24.63,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bde39a53b63d,tunisieannonce,tunis,0.0969,False,12.59,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be6409751c52,tunisieannonce,tunis,0.1697,False,3.25,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be5f2a5504e4,tunisieannonce,tunis,0.0543,False,25.22,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bdc5bfd2276b,tunisieannonce,tunis,0.1502,False,4.72,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_c249e4c94009,tunisieannonce,tunis,0.1479,False,4.94,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bdf1b4af19ba,tunisieannonce,tunis,0.1598,False,3.93,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bde64b05195c,tunisieannonce,tunis,0.1751,False,2.93,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be26e4cf7851,tunisieannonce,tunis,-0.0315,True,65.27,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bee433ebe4cf,tunisieannonce,tunis,0.175,False,2.93,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bea57c3e182a,tunisieannonce,tunis,0.1428,False,5.44,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_ca089202e44a,tunisieannonce,tunis,0.1463,False,5.09,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bec7f1d31bb9,tunisieannonce,tunis,0.1605,False,3.88,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_be666b43701b,tunisieannonce,tunis,0.1859,False,2.37,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_beb1bc493c7c,tunisieannonce,tunis,0.1253,False,7.54,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bf53f6998370,tunisieannonce,tunis,0.1602,False,3.91,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bf6d96f96ddd,tunisieannonce,tunis,0.1265,False,7.37,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bfdc853f3822,tunisieannonce,tunis,0.1454,False,5.18,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bf6e4f628475,tunisieannonce,tunis,0.1214,False,8.11,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_bfd06f1a9049,tunisieannonce,tunis,0.1568,False,4.17,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_c002191db237,tunisieannonce,tunis,0.077,False,17.65,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_71038cd51427,tunisieannonce,tunis,0.1814,False,2.59,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_02e0b379ff2b,century21,tunis,0.129,False,7.05,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_00449ec77402,century21,tunis,0.1468,False,5.04,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_031b69100d7d,century21,tunis,0.1072,False,10.49,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_02d29ba7dc54,century21,tunis,0.0998,False,11.96,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_084a6d73e689,century21,tunis,-0.035,True,66.8,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_06bd1bf41367,century21,tunis,0.1277,False,7.22,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_077f2decb003,century21,tunis,0.1257,False,7.49,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_07c08a212998,century21,tunis,0.079,False,17.09,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_0dd2bb14d722,century21,tunis,0.0598,False,23.22,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_1aba80c46649,century21,tunis,-0.0647,True,78.48,"[""no_images_high_price"", ""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_0e6407551a27,century21,tunis,0.1148,False,9.14,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_0e7abc0bd304,century21,tunis,0.0721,False,19.11,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_0f8abe645aaa,century21,tunis,0.0703,False,19.67,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_435589163746,tunisieannonce,tunis,0.158,False,4.07,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_121d339799e8,century21,tunis,0.1044,False,11.02,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_11d02ac0f672,century21,tunis,0.1079,False,10.35,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_11cb0fbf6950,century21,tunis,0.119,False,8.47,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_1474ca3bef5d,century21,tunis,0.0789,False,17.1,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_505d29472b2a,tunisieannonce,tunis,0.1197,False,8.37,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_196ff1aa5dc3,century21,tunis,0.0674,False,20.62,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_43ecf99ff26a,tunisieannonce,tunis,0.1573,False,4.13,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_191f35598ac0,century21,tunis,0.0431,False,29.67,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_f32b70a1c306,tunisieannonce,tunis,0.0341,False,33.58,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2150,century21,tunis,0.0034,False,48.29,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_21015be21ea9,century21,tunis,0.144,False,5.31,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2307025f158c,century21,tunis,0.1237,False,7.77,[],"{""model_used"": ""tunis""}",isolation_forest_v2
mubawab_8105627,mubawab,tunis,0.0639,False,21.79,"[""description_too_short""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_26627c5819bc,century21,tunis,0.0884,False,14.58,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2294f82184d4,century21,tunis,0.1124,False,9.55,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2843b00e4c7d,century21,tunis,0.0915,False,13.81,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2d4b5571ad61,century21,tunis,0.084,False,15.72,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_2b58507c48ad,century21,tunis,0.1242,False,7.69,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_a23998b12c08,century21,tunis,0.1302,False,6.89,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_3114d82eed86,century21,tunis,0.0556,False,24.75,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_32dce02693df,century21,tunis,-0.0149,True,57.41,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_3572353f854b,century21,tunis,0.1422,False,5.49,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_347f54f1f121,century21,tunis,0.1371,False,6.05,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_3452f4daaec0,century21,tunis,-0.0239,True,61.72,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_356e73a2bfcf,century21,tunis,0.0911,False,13.92,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_32e1a28a66b5,century21,tunis,0.0791,False,17.05,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_10099aacf90d,tunisieannonce,tunis,0.1714,False,3.14,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_39b0e3338d5c,century21,tunis,0.0783,False,17.27,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_361caf169058,century21,tunis,0.1318,False,6.68,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_43f0ba794abc,tunisieannonce,tunis,0.1758,False,2.89,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_366a8e518bcc,century21,tunis,0.1215,False,8.09,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_3c8ed2535105,century21,tunis,0.0982,False,12.3,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_15a312582d6d,tunisieannonce,tunis,0.1575,False,4.11,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_3f9be412ebe8,century21,tunis,0.1045,False,11.0,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_4000,century21,tunis,0.0139,False,43.11,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_3eeb298bd730,century21,tunis,0.1055,False,10.82,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_5866975d79f2,tunisieannonce,tunis,0.1317,False,6.69,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_441acd868ad7,century21,tunis,0.0823,False,16.16,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_4469dfee02b5,century21,tunis,0.135,False,6.3,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_a59de41e91d3,tunisieannonce,tunis,0.1022,False,11.46,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_462ff2b648c9,century21,tunis,0.1049,False,10.94,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_470ba187fcfe,century21,tunis,0.1181,False,8.61,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_48d7fd5f468a,century21,tunis,-0.0736,True,81.35,"[""no_images_high_price"", ""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_55f3b1f1fcf3,century21,tunis,0.0863,False,15.12,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_4c5e7fbb0f02,century21,tunis,0.0839,False,15.75,[],"{""model_used"": ""tunis""}",isolation_forest_v2
mubawab_8134835,mubawab,tunis,0.1271,False,7.3,"[""description_too_short""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_4c7b3f4d179d,century21,tunis,0.0916,False,13.8,"[""description_too_short""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_1c07a2a40006,tunisieannonce,tunis,0.1714,False,3.14,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_1c52da4a4f70,tunisieannonce,tunis,0.0603,False,23.03,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_501b93b327b8,century21,tunis,0.1164,False,8.88,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_50636c9a39c7,century21,tunis,-0.0089,True,54.45,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_5076adb84682,century21,tunis,0.1293,False,7.0,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_51be6fa113ce,century21,tunis,0.1176,False,8.69,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_6da1fdfb4561,tunisieannonce,tunis,0.0824,False,16.14,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_550ea00e206f,century21,tunis,0.1089,False,10.18,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_592c386e050b,century21,tunis,0.1164,False,8.89,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_58c425a613bd,century21,tunis,0.134,False,6.42,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_58d5e550d7ab,century21,tunis,0.1346,False,6.35,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_59cde04c053e,century21,tunis,0.0549,False,25.02,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_78fa608ad33c,tunisieannonce,tunis,0.1285,False,7.11,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_5b6afc354884,century21,tunis,0.0835,False,15.83,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_605a11c9849c,century21,tunis,0.0976,False,12.44,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_627a3854a9b4,century21,tunis,-0.1056,True,89.21,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_6265d73de2d9,century21,tunis,0.1394,False,5.8,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_640f193bf6cb,century21,tunis,0.0919,False,13.72,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_692ec1ce27af,century21,tunis,0.1293,False,7.0,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_a374c68a9bde,century21,tunis,0.1057,False,10.77,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_6c682d1ed2b3,century21,tunis,0.0973,False,12.51,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_72da86bac748,century21,tunis,0.1328,False,6.57,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_7142a9e06b2b,century21,tunis,-0.0372,True,67.79,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_754ff3689da4,century21,tunis,0.1267,False,7.35,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_76c858e7fd9f,century21,tunis,0.1339,False,6.43,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_02d567d77144,tunisieannonce,tunis,0.1729,False,3.05,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_757cc4888649,century21,tunis,0.1221,False,8.0,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_7950adacbbdc,century21,tunis,0.1445,False,5.27,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_06916d8a19c1,tunisieannonce,tunis,0.1462,False,5.1,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_7cbe93a685ef,century21,tunis,0.0535,False,25.56,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_7a688ba5a493,century21,tunis,0.1143,False,9.23,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_7d9fd3df44af,century21,tunis,0.126,False,7.45,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_80abfd0d2296,century21,tunis,0.0461,False,28.45,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_839d3b3c6d14,century21,tunis,0.0891,False,14.39,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_8031726f1280,century21,tunis,0.1054,False,10.84,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_815677f09b1d,century21,tunis,0.1414,False,5.58,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_83af5afe2ea1,century21,tunis,0.0864,False,15.08,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_86396b55ebe2,century21,tunis,0.1387,False,5.88,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_8717e34abd61,century21,tunis,0.0492,False,27.22,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_ce386f5348f2,century21,tunis,0.1092,False,10.12,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_8b99df5e2408,century21,tunis,0.0576,False,24.01,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_cb156f1e4869,tunisieannonce,tunis,0.0344,False,33.45,[],"{""model_used"": ""tunis""}",isolation_forest_v2
tunisieannonce_075a905d57da,tunisieannonce,tunis,0.1208,False,8.2,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_94da036c3ec1,century21,tunis,0.1009,False,11.73,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_91da7da468e0,century21,tunis,0.1284,False,7.12,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_99717a3e0ca6,century21,tunis,0.0818,False,16.3,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_963d778f6aac,century21,tunis,0.1406,False,5.66,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_9af68797b295,century21,tunis,0.1426,False,5.46,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_99958910d407,century21,tunis,0.1067,False,10.59,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_9bd71bf6fbb7,century21,tunis,0.1321,False,6.65,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_99beb569ad38,century21,tunis,0.0197,False,40.29,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_9dae1ef4f96e,century21,tunis,0.1189,False,8.48,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_a5b93b9d14bf,century21,tunis,-0.0078,True,53.88,"[""no_images_high_price""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_a980f894b5a4,century21,tunis,0.0287,False,36.02,"[""price_too_high_for_region""]","{""model_used"": ""tunis""}",isolation_forest_v2
century21_a8b0eb51e79f,century21,tunis,0.0837,False,15.78,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_addf8c287b09,century21,tunis,0.0925,False,13.6,[],"{""model_used"": ""tunis""}",isolation_forest_v2
century21_ae954f4eb4cc,century21,tunis,0.0862,False,15.13,[],"{""model_used"": ""tunis""}",isolation_forest_v2
