property_id,source_name,description_preview,language,word_count,fraud_keywords,keyword_count,exclamation_count,gemma2_2b_sentiment,gemma2_2b_confidence,gemma2_2b_reason,gemma2_2b_elapsed
tunisieannonce_e400817e88bf,tunisieannonce,"a vendre appartement s1 à mourouj 6 sur la route principale avec place de parking sou sol , au 1er étage pour plus d'informations contacter",french,25,,0,0,NEUTRAL_NEGATIVE,0.7,"La description est factuelle mais présente des signes suspects : l'agglutination de mots comme 's1', 'place de parking sou sol', 'au 1er étage' qui suggère un manque de précision et une volonté d'impressionner le lecteur, ainsi qu'une urgence forcée ('pour plus d'informations contacter') sans fournir de contexte précis.",13.27
tunisieannonce_938eaf5b8b77,tunisieannonce,"un appartement situé dans une résidence sécurisée et proche de toutes commodités. il est composé dun salon une cousine américaine dune salle de bain, dune chambre à coucher et . et chauffage central s",french,36,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce est descriptive mais manque de détails importants (estimation des prix, photos, etc.). Elle présente des éléments positifs mais pas de garantie que l'appartement est réellement disponible ou conforme aux descriptions.",9.81
tunisieannonce_a259059ade47,tunisieannonce,"l'agence immo contact met en vente a el manzah 1 pour 180000 dt par mois un studio s0 rénové (35m) avec climatisation, salle d'eau douche, balcon , 6 eme étage sans ascenseur , vue panoramique , titre",french,48,,0,0,NEUTRAL_NEGATIVE,0.7,"La description contient plusieurs indices suspects :  prix anormalement bas (180 000 DT par mois) et urgence forcée. La mention d'un studio 's0 rénové' sans précision sur l'ancienneté de la rénovation ou l'état des éléments est également suspectée. La mention du titre bleu, bien qu'elle puisse être une pratique courante, n'est pas un indicateur fiable pour vérifier la fiabilité de la description. Enfin, la commission d'agence de 2% est une pratique standard mais doit être accompagnée d'un engagement transparent et précis sur la nature des frais supplémentaires.",15.18
tunisieannonce_d67684422ae9,tunisieannonce,"l'agence immo contact met en vente a el manzah 9a pour 260000 dt un s plus 2 (100m) avec salle de bain (wb3426) frais de visite 20dt , commission agence 2 pourcent",french,32,,0,0,NEUTRAL_NEGATIVE,0.7,La description présente un prix anormalement bas pour la localisation et le type de logement proposé. La mention d'une urgence forcée ou d'incohérences rends la description suspectes.,9.12
affare_259822,affare,"Description Location été Villa pieds dans leau à Kélibia Plage (Fatha Mansourah Plage Rocher) Passez des vacances de rêve dans une magnifique villa indépendante, située dans lun des plus beaux coins d",french,99,,0,1,NEUTRAL_POSITIVE,0.7,"L'annonce présente une description normale et factuelle de la villa, sans promesses irréalistes ou exagération excessive. Cependant, l'incorporation d'un élément comme 'pieds dans le eau' peut être vue comme une promesse peu réaliste pour un logement. La mention des disponibilités limitées crée une pression immédiate et il y a une incohérence entre la description de la villa et les informations de contact (WhatsApp) qui n'est pas standard et n'est pas toujours fiable.",14.39
tunisieannonce_85203899d2ba,tunisieannonce,"appartement s+1 haut standing meublé au rez de chaussée à louer pour courte durée dans un excellent emplacement à l'aouina résidence zayatine à proximité de monoprix elwahette , des cliniques, des com",french,80,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce présente une description factuelle de l'appartement, avec des informations comme l'emplacement, les commodités et les temps de trajets mentionnés. Cependant, la mention de 'très proche de clinique sokra, hannibal, lac 2' et d'autres lieux importants suggère une certaine vague allégation et peut nécessiter plus d'informations pour vérifier la véracité.",12.77
century21_2d4299a3b59d,century21,Description Lagence immobilière Century21 Patrimoine vous propose pour la location un appartement a usage bureautique ou Habitation en S+4 situé au centre urbain nord. Il se compose de : Un hall de ré,french,76,,0,0,ERROR,0,parse error,13.41
century21_ebbf44fa75da,century21,Description Lagence immobilière Century 21 Karaouli vous propose à la vente un appartement S+4 à Ennasr 2 . Cet appartement est composé comme suit : Un salon et une salle à manger Une cuisine équipée ,french,86,,0,0,ERROR,0,parse error,12.18
newkey_127771,newkey,"Description New Key La Soukra met à la location une belle villa S+4 moderne offrant confort et prestations de qualité. Elle se compose au rez-de-chaussée d'un salon spacieux , d'une salle à manger, d'",french,103,,0,0,ERROR,0,parse error,14.47
tunisieannonce_e6e40ad60c38,tunisieannonce,"lagence immobilière al amal met en vente une magnifique villa deux étage, située dans un quartier résidentiel calme et sécurisé à el mourouj 4, proche de toutes les commodités (écoles, commerces, tran",french,123,,0,0,ERROR,0,parse error,14.61
tunisieannonce_a452a0d2bbd0,tunisieannonce,"appartement s+3 près de carrefour market riadhlandalous de très bonne état et orientation idéale avec une superficie de151m2 avec balcon de 14 m de long couvrant deux chambres et salon et vue dégagée,",french,54,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce décrit un appartement dans un quartier précis avec des caractéristiques techniques mentionnées, comme l'ascenseur et la climatisation split.  Cependant, il manque de précisions sur le lieu exact (le nom du quartier ou la ville) ce qui pourrait être un signe d'un site web non fiable. Le prix est également bas pour l'offre, mais cela peut s'expliquer par des détails manquants.",13.1
century21_9ea34b5c74d4,century21,"Description Lagence CENTURY 21 Excellence La Marsa vous propose à la location un appartement S+2 avec jardin, situé à La Marsa. Il se compose de : Un salon donnant sur le jardin Deux chambres à couche",french,83,,0,0,ERROR,0,parse error,15.25
tunisieannonce_e7b5ca9c6858,tunisieannonce,ارض للبيع مساحة 377 متر مربع فى واد الليل ولاية منوبة مزودة بالماء الصالح لشراب والكهرب اء والغاز وقنوات الطتهير صالح للبناء ثمن المتر الواحد 600 دينار مع النقاش شهادة ملكية,arabic,31,,0,0,NEUTRAL_NEGATIVE,0.7,"La description présente une indication d'exagération avec l'offre de '600 dinars par m2', un prix très bas pour une surface donnée en Algérie. L'absence de précisions sur les conditions d'accès à l'eau ou des détails sur la localisation peut aussi être indicative d'un risque de fraude.",11.1
newkey_121132,newkey,Description NewKey Jardins de Carthage vous propose à la vente un superbe appartement S+3 avec Jardin et Piscine situé dans une résidence R+3. Ce bien offre un espace de vie lumineux et moderne compre,french,129,,0,0,NEUTRAL_POSITIVE,0.7,"La description est informative avec des détails de l'appartement comme la surface, les équipements et les commodités, mais il manque de spécifications concrètes sur le prix ou l'emplacement. La mention d'un système alarm à son arrivée, des places de parking et des informations de contact sans  plus de précisions pourrait être interprétée comme une tentative de rassurer et de donner un air légitime à la description.",14.58
century21_f5dc1e34017e,century21,Description Lagence immobilière Century 21 Infinity vous propose à la vente un appartement de vocation bureautique ou habitation S+4 *Emplacement: centre vile bab el khadra *Typologie: S+4 *Superficie,french,66,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce présente des éléments suspects : une description peu détaillée de l'appartement, un prix anormalement bas et la mention d'un emplacement sans précision (centre ville bab el khadra), mais elle reste factuelle et n'exprime pas clairement de promesses irréalistes.  Il manque de détails sur les caractéristiques, comme le type de balcon, la présence d'équipements spécifiques ou la localisation exacte de l'appartement, ce qui pourrait indiquer un manque de transparence. ",13.63
tunisieannonce_22ceaded67eb,tunisieannonce,"a louer à la soukra sur une des avenues principales espace offrant visibilité, accessibilité et confort de travail un espace de 300 m en open espace haut standing, modulable -open espace haut standing",french,88,,0,0,NEUTRAL_POSITIVE,0.8,"La description décrit un espace de travail moderne avec une infrastructure et des commodités intéressantes. Cependant, les prix mentionnés sont très bas par rapport à la taille et à l'emplacement proposé. L’annonce manque de précisions sur le type d'infrastructure IT (fibre optique). Il y a aussi un manque d’informations concernant les conditions de location.",12.63
newkey_128204,newkey,Description New Key La Soukra met à la location un bureau A+1 dans un immeuble bureautique bien sécurisé proche de toutes commodités à Ain Zaghouan nord. Il se compose d'un accueil avec salle deau et ,french,41,,0,0,NEUTRAL_NEGATIVE,0.7,"La description est assez concise et factuelle, mais l'absence de précisions sur la surface, les dimensions du bureau ou la localisation précise de l'immeuble crée un certain niveau d'incertitude. L'ajustement des prix est suspect, et l'utilisation de termes comme 'A+' sans détails n'est pas normal dans une description de location.",12.41
affare_248366,affare,"Descriptionnous offrons à nos précieux clients 8 hectares nu de terrain plat et excellente nappe phréatique, à 350 mètres de la route goudronnée, à 47 km de tunis, la capitale. terrain adapté à tous t",french,108,,0,0,ERROR,0,parse error,12.73
affare_259482,affare,"DescriptionV566 Maison dhôte CELINA A vendre chez lagence SMART OWNER immobilière Hammamet, une belle maison dhôte située dans un quartier calme, chic et bien sécurisé à Hammamet Sud zone El Monchar. ",french,176,,0,0,NEUTRAL_NEGATIVE,0.7,"La description contient des éléments suspects :  - Propositions exagérées (ex: 'une grande suite parentale avec un canapé lit 2 places' et 'une 2ème suite avec un canapé lit 1 place') - Vague sur les 'banques de la maison', sans précisions. - Description trop détaillée, ce qui peut être artificielle pour attirer l'attention.  - La mention d'un prix anormalement bas, une urgence forcée ou des incohérences pourrait indiquer un soupçon de fraude.",15.94
tunisieannonce_89c93c933e1b,tunisieannonce,a vende 920 m2 à chouchet rades sur gp1 côté banque de solidarité titre privatif vocation r+4 près du tribunaux et siège de gouvernorat 1300d/m2 négociable,french,26,,0,0,NEUTRAL_NEGATIVE,0.6,"La description mentionne un prix anormalement bas, l'incohérence avec la taille de l'annonce et une mention de 'vérification des documents' en suggérant un aspect suspect.",9.04
tunisieannonce_1effb02fa507,tunisieannonce,superficie 624m . et titre individuelle rdc villa principale s4 hs et studio s0 indépendant r de jardin disponible s1 et s2 première étage s2 et s3,french,27,,0,0,NEUTRAL_NEGATIVE,0.6,"La description présente des éléments suspects : l'excès de détails sur les superficies et les types de logements (s1, s2, s3) suggère une volonté de faire croire à un nombre important de logements disponibles. La mention de 'titre individuel rdc villa principale s4 hs' pourrait aussi être une indication d'un type de propriété peu répandu ou qui n'est pas facilement identifiable dans les listings immobiliers.",13.03
affare_243701,affare,DescriptionMahjoub met à la vente un terrain constructible située à Borj Ghammez prés residence soltana bizerteVue panoramique sur BizerteSuperficie : 430 mDocuments Fournis : titre foncier individuel,french,61,,0,0,NEUTRAL_NEGATIVE,0.7,"La description présente des éléments suspects : le prix est très bas par rapport à la surface (450 DT/m), et l'urgence forcée est mentionnée (RDV sur rendez-vous) ce qui peut être un signe de fraude. L'incohérence avec les informations disponibles et la communication par WhatsApp suggèrent une possible approche frauduleuse.",12.72
tunisieannonce_5c4608708085,tunisieannonce,"le patio immobilier tunisie met a la location une villa jumelée s+3 a la marsa dans quartier calme et sécurisé elle se compose : d'un salon séjour qui s'ouvre sur le jardin, une cuisine équipée et une",french,80,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce présente une description normale de la villa avec des informations précises sur les équipements et les dimensions. Cependant, l'absence de mention d'un prix précis et de détails sur la localisation exacte suggère un manque de transparence, ce qui peut pointer vers une situation potentiellement suspecte.",11.31
tunisieannonce_033135da23fa,tunisieannonce,"lagence idéal immobilier vous propose à la location un bureau dune superficie de 230m2, situé au 1er étage d'une résidence bureautique prisée aux berges du lac1. cet espace de travail se compose de 05",french,81,,0,0,ERROR,0,parse error,12.9
tunisieannonce_2f30e2f5bafd,tunisieannonce,duplex s+3 dans une résidence calme et sécurisé idéalement située a boumhel bassatine. la partie jour comprend un salon lumineux avec balcon . et une salle deau pour les invités. la cuisine est entièr,french,75,,0,0,NEUTRAL_POSITIVE,0.7,"La description est assez claire et factuelle mais mentionne quelques points suspects : 'Idéalement situé' qui implique de la spéculation sur un prix très bas, 'Cuisine entièrement équipée' et 'Chauffage central' sont des éléments à vérifier pour éviter le piège. En général, il n'y a pas d'exagération excessive ou d'incohérences majeures, mais il faut rester vigilant.",12.87
tunisieannonce_2f4de7295a5a,tunisieannonce,"particulier vous propose des s1 meublé luxueux pour courte durée a citée naser dans une résidence gardée 24/24 , sécuriser , climatiser , chauffer . prix de la nuitée 120dt tel",french,31,,0,0,NEUTRAL_NEGATIVE,0.7,"L'annonce présente des indices suspects : le prix anormalement bas à 120dt/nuitée et la mention d'une résidence gardée 24/24 sans précision sur les caractéristiques de la résidence (proche du centre-ville, piscine, parking, etc.).  Le manque de détails et la demande formelle 'particulier' peuvent également inciter à une certaine prudence.",12.33
tunisieannonce_05abb1207076,tunisieannonce,a vendre un parcelle de terrain 948 m titre foncier urbaine indivi r+2 situé derrière carrefour la marsa a 80 m sur la route principale. prix : 1230 md tél : 99.307.890,french,32,,0,0,NEUTRAL_NEGATIVE,0.7,L'annonce présente un prix anormalement bas (1230 MD) qui suscite une suspicion. L'insistance sur l'urgence et la proximité d'un carrefour important (Carrefour La Marsa) pourrait être une tentative de créer une perception de valeur.,10.42
tunisieannonce_0b120cd33729,tunisieannonce,"a louer un studio s0 meublé hst a citée naser par nuitée , climatiser/chauffer a coté du clinique amilcar prix de la nuitée 90dt tel",french,25,,0,0,NEUTRAL_NEGATIVE,0.7,"La description présente certains indices de fraude :  prix anormalement bas (90dt) et mention d'un climatisant/chauffeur. L’urgence forcée est également suggérée par la phrase ‘a louer’. De plus, il n’y a pas d’informations précises sur la localisation ou l'état du logement.",11.21
newkey_118038,newkey,Description New Key La Soukra vous propose à la vente un local commercial d'une superficie de 100m sur la rue principale à Ain Zaghouan nord. Ce local est caractérisé par son emplacement stratégique a,french,37,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce est informative et présente des éléments positifs comme l'emplacement stratégique. Cependant, l'absence de détails spécifiques concernant la nature du local (commerces, bureaux, etc.) pourrait créer une certaine incertitude quant à sa fiabilité.",10.08
tunisieannonce_f68e2cbe9c6e,tunisieannonce,"cet appartement de type s+2 semi-meublé est situé au premier étage dun immeuble privé r+2, niché dans un environnement calme, lun de ses atouts majeurs est la qualité du voisinage. dès lentrée, on tro",french,89,,0,0,NEUTRAL_POSITIVE,0.7,"La description est factual mais contient des éléments suspects: l'exagération de la qualité du voisinage et la mention d'un balcon dans une chambre. Cependant, les détails techniques de l'appartement restent clairs et ne suggèrent pas d'éléments frauduleux.",11.4
tunisieannonce_91bd532fe109,tunisieannonce,a vendre villa neuf a hammam sousse el ghrabi 2 surface terrain 300 m surface couvert 180 m composé 03 chambres salon séjour cuisine équiper salle de bain salle deau terrasse jardin bien équiper eaux ,french,38,,0,0,NEUTRAL_NEGATIVE,0.7,"L'annonce présente des éléments suspects : une villa neuve à Hammam Sousse El Ghrabi avec un terrain de 300m² et 180m² couverts, une description complète et une bonne équiperement de l'habitation. Cependant, la mention du prix anormalement bas et l'urgence forcée sont des indices qui suggèrent une possible fraude.",12.17
affare_247788,affare,DescriptionA vendre un appartement s+3 à cité Ennasr. Superficie : 194 Typologie : S+3 tage : 5ème avec ascenseur Un salon avec balconUne salle d'eau invitéesUne cuisine bien aménagée et équipée.3 cha,french,50,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce décrit un appartement de manière factuelle avec quelques informations positives. Cependant, certains éléments comme la mention de 'chauffage central et climatisation en split système' sans préciser la type d'installation ou l'année de construction pourraient être suspects. L'information sur le prix est également trop vague. Il faudrait davantage d'informations pour avoir une opinion définitive.",12.54
tunisieannonce_0727e65110e8,tunisieannonce,"#la sté akariet sarraj #agence #immobilière (#agrée) propose #a vendre #nouvelle #villa plain-pied #construite sur (#terrain 496m #deux façades) #akouda spacieux salon, séjour, deux chambres à coucher",french,53,,0,0,NEUTRAL_NEGATIVE,0.7,L'annonce présente un prix très bas pour une villa et manque de détails concrets sur la situation du terrain et l'accès à l'eau potable ou les assainissements. L'urgence forcée est aussi suspecte.,11.51
century21_b193ec1b84d6,century21,Description *Century 21 Prestige met en Vente une villa jumelée S+3 jamais habité de 420m à la Marsa route Gammarth Il se compose comme suit : *A Létage: -Une suite parentale -Deux suites juniors *Au ,french,86,,0,0,NEUTRAL_NEGATIVE,0.7,La description mentionne des éléments suspects comme 'une suite parentale' et 'deux suites juniors' sans précisions sur la taille ou le type de l'espace. La présence d'un prix anormalement bas et un urgence forcée sont également des indices suspects qui requièrent une vérification approfondie.,12.06
affare_257808,affare,Description vendre chez GreenImmobilierune demeure bien située à HammametElle sétend sur un terrain de 300 m avec une superficie habitable de 210 m.elle offre:- un salon salle à manger- une cuisine bi,french,74,,0,0,NEUTRAL_POSITIVE,0.7,"La description est assez détaillée mais présente quelques éléments suspects : l'exagération de la surface habitable, la mention d'un prix bas pour une villa avec une telle configuration, et l'urgence forcée. Il manque des informations cruciales comme les conditions de vente (imposition), le type de documents pour justificatifs de propriété, ou la présence d'un agent immobilier. ",12.56
affare_259565,affare,"DescriptionA louer à lannée un bel appartement situé à Hammamet Nord dans un quartier calme. Pièces : Un salon-salle à manger ouvrant sur un balcon, une cuisine équipée, deux chambres à coucher dont u",french,68,,0,0,NEUTRAL_POSITIVE,0.7,L'annonce semble normale avec quelques éléments positifs acceptables. L'excès d'affirmation sur le prix est un signal de prudence et l'absence de détails précis sur la nature du quartier ou de la localisation peut être une faiblesse potentielle. La description reste factuelle et ne présente aucune anomalie flagrante.,11.77
newkey_124048,newkey,"Description New Key La Soukra met à la vente un superbe duplex S+3 avec chambre de service d'une résidence agréable et ultra-sécurisée située dans un quartier résidentiel calme, accessible et privatif",french,150,,0,0,ERROR,0,parse error,14.51
tunisieannonce_4b2f4e5affa2,tunisieannonce,"à vendre un terrain à cité les pins, idéal pour la construction d'une ou deux villas jumelées. zone d'habitation uaa1: villa isolée cos: 0.3 cuf: 0.8 r+2 situation juridique en règle. ps: si ces biens",french,83,,0,0,ERROR,0,parse error,13.83
tunisieannonce_4fc6022a38d1,tunisieannonce,seven real estate vous propose à la location une villa s5 située danns un quartier résidentiel à ain zaghouan nord elle se compose comme suit au rez-de-chaussée un grand salon lumineux donnant sur un ,french,88,,0,0,ERROR,0,parse error,13.24
