property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
affare_257357,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
affare_257444,affare,0.3323,negative,0.3545,0.55,39.45,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257450,affare,0.3998,negative,0.3697,0.55,42.68,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257282,affare,0.3844,negative,0.3787,0.55,42.38,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_a77853c45490,tunisieannonce,0.0697,neutral,0.3723,0.55,29.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257369,affare,0.0,positive,0.3926,0.25,19.99,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257399,affare,0.0,positive,0.3999,0.55,27.75,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_256795,affare,0.2306,negative,0.394,0.0,23.01,suspect,[],xlm_roberta_mdeberta_v1,
affare_259199,affare,0.0761,neutral,0.3146,0.25,20.3,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257791,affare,0.3538,negative,0.4227,0.3,36.45,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_257455,affare,0.3903,negative,0.3507,0.75,46.64,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_a594db9e20d5,tunisieannonce,0.0,positive,0.3598,0.25,18.84,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257460,affare,0.3661,negative,0.3686,0.75,46.29,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257803,affare,0.3892,negative,0.3862,0.75,47.84,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257804,affare,0.405,negative,0.3977,0.75,48.87,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257453,affare,0.4127,negative,0.3502,0.75,47.52,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257543,affare,0.4313,negative,0.326,0.5,41.16,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257799,affare,0.0,positive,0.3535,0.2,17.37,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_257683,affare,0.0,positive,0.4607,0.25,22.37,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257942,affare,0.0,positive,0.4062,0.55,27.97,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259236,affare,0.0,positive,0.3218,0.25,17.51,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257940,affare,0.0,positive,0.3721,0.55,26.77,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257932,affare,0.806,negative,0.4441,0.3,55.28,fraud_likely,"['urgency_detected', 'strong_negative_sentiment']",xlm_roberta_mdeberta_v1,
affare_257805,affare,0.3894,negative,0.3653,0.55,42.11,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257808,affare,0.4389,negative,0.3715,0.75,49.31,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_258727,affare,0.3698,negative,0.3422,0.0,26.77,suspect,[],xlm_roberta_mdeberta_v1,
affare_258672,affare,0.1048,neutral,0.3503,0.3,23.95,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_258751,affare,0.0784,neutral,0.3718,0.55,29.9,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258568,affare,0.2426,negative,0.4313,0.55,38.55,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258480,affare,0.0,positive,0.2863,0.3,17.52,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_258612,affare,0.0,positive,0.3313,0.3,19.1,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
century21_a1a09a825273,century21,0.0,positive,0.3576,0.2,17.52,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_258700,affare,0.3448,negative,0.3529,0.0,26.14,suspect,[],xlm_roberta_mdeberta_v1,
affare_259178,affare,0.2837,negative,0.2404,0.75,38.51,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259200,affare,0.0805,neutral,0.4,0.25,23.47,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259176,affare,0.258,negative,0.2619,0.25,25.74,suspect,['vague_description'],xlm_roberta_mdeberta_v1,
affare_259174,affare,0.2664,negative,0.2525,0.75,38.24,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_0ff7ae1b5e1e,tunisieannonce,0.0,positive,0.333,0.0,11.65,normal,[],xlm_roberta_mdeberta_v1,
affare_259177,affare,0.4335,negative,0.3496,0.55,43.33,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258985,affare,0.0753,neutral,0.4087,0.55,31.07,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258966,affare,0.3105,negative,0.3767,0.55,39.35,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259181,affare,0.3596,negative,0.3446,0.0,26.44,suspect,[],xlm_roberta_mdeberta_v1,
affare_259175,affare,0.4072,negative,0.2846,0.75,45.0,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259186,affare,0.3568,negative,0.2903,0.55,38.18,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259185,affare,0.0,positive,0.285,0.0,9.97,normal,[],xlm_roberta_mdeberta_v1,
affare_259183,affare,0.2758,negative,0.3986,0.55,38.73,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259184,affare,0.344,negative,0.3093,0.75,43.34,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259194,affare,0.0,positive,0.2949,0.0,10.32,normal,[],xlm_roberta_mdeberta_v1,
affare_259193,affare,0.0,positive,0.4101,0.0,14.35,normal,[],xlm_roberta_mdeberta_v1,
affare_259189,affare,0.3491,negative,0.346,0.75,44.82,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259192,affare,0.0,positive,0.2528,0.2,13.85,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_220450,affare,0.433,negative,0.4357,0.55,46.32,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
