property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
affare_237007,affare,0.0,positive,0.3041,0.55,24.39,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_226648,affare,0.0,positive,0.4138,0.3,21.98,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_2400,affare,0.3535,negative,0.4306,0.55,42.96,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_130174,newkey,0.0,positive,0.345,0.0,12.07,normal,[],xlm_roberta_mdeberta_v1,
newkey_130439,newkey,0.0,positive,0.3227,0.25,17.54,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130077,newkey,0.0,positive,0.3276,0.0,11.47,normal,[],xlm_roberta_mdeberta_v1,
newkey_129869,newkey,0.0,positive,0.2456,0.2,13.6,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129926,newkey,0.0,positive,0.3335,0.0,11.67,normal,[],xlm_roberta_mdeberta_v1,
newkey_130027,newkey,0.0,positive,0.3306,0.0,11.57,normal,[],xlm_roberta_mdeberta_v1,
newkey_130171,newkey,0.0,positive,0.3049,0.2,15.67,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129576,newkey,0.0,positive,0.279,0.25,16.02,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129741,newkey,0.0,positive,0.2913,0.25,16.45,normal,['external_contact'],xlm_roberta_mdeberta_v1,
mubawab_8309582,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
newkey_129409,newkey,0.0,positive,0.3058,0.2,15.7,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130447,newkey,0.0,positive,0.248,0.0,8.68,normal,[],xlm_roberta_mdeberta_v1,
newkey_129987,newkey,0.0,positive,0.3725,0.0,13.04,normal,[],xlm_roberta_mdeberta_v1,
newkey_129335,newkey,0.0,positive,0.2965,0.0,10.38,normal,[],xlm_roberta_mdeberta_v1,
newkey_130181,newkey,0.0,positive,0.3346,0.0,11.71,normal,[],xlm_roberta_mdeberta_v1,
mubawab_8320001,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_257282,affare,0.3844,negative,0.3787,0.55,42.38,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129872,newkey,0.0,positive,0.3341,0.0,11.69,normal,[],xlm_roberta_mdeberta_v1,
newkey_130159,newkey,0.0,positive,0.3602,0.0,12.61,normal,[],xlm_roberta_mdeberta_v1,
affare_226855,affare,0.076,neutral,0.3345,0.55,28.5,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129730,newkey,0.0,positive,0.2743,0.0,9.6,normal,[],xlm_roberta_mdeberta_v1,
newkey_130515,newkey,0.0,positive,0.3405,0.0,11.92,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_8cb4c774edbf,tunisieannonce,0.0851,neutral,0.3144,0.2,19.41,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130322,newkey,0.0,positive,0.3096,0.0,10.84,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_0b5ceabe48b0,tunisieannonce,0.0,positive,0.3537,0.45,23.63,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_130395,newkey,0.0,positive,0.2593,0.0,9.08,normal,[],xlm_roberta_mdeberta_v1,
affare_250291,affare,0.4655,negative,0.4252,0.55,47.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257804,affare,0.405,negative,0.3977,0.75,48.87,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257453,affare,0.4127,negative,0.3502,0.75,47.52,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257543,affare,0.4313,negative,0.326,0.5,41.16,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257799,affare,0.0,positive,0.3535,0.2,17.37,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_254271,affare,0.0,positive,0.3037,0.0,10.63,normal,[],xlm_roberta_mdeberta_v1,
affare_247788,affare,0.0898,neutral,0.2535,0.0,12.46,normal,[],xlm_roberta_mdeberta_v1,
affare_259236,affare,0.0,positive,0.3218,0.25,17.51,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_255365,affare,0.3495,negative,0.373,0.55,40.78,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_246872,affare,0.0,positive,0.4181,0.0,14.63,normal,[],xlm_roberta_mdeberta_v1,
affare_257805,affare,0.3894,negative,0.3653,0.55,42.11,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129917,newkey,0.0,positive,0.2938,0.0,10.28,normal,[],xlm_roberta_mdeberta_v1,
newkey_129726,newkey,0.0,positive,0.3512,0.2,17.29,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_241047,affare,0.0,positive,0.4162,0.3,22.07,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
newkey_130160,newkey,0.0,positive,0.3276,0.0,11.47,normal,[],xlm_roberta_mdeberta_v1,
affare_253269,affare,0.0,positive,0.4132,0.2,19.46,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_258480,affare,0.0,positive,0.2863,0.3,17.52,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_228981,affare,0.0,positive,0.3369,0.3,19.29,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
century21_a1a09a825273,century21,0.0,positive,0.3576,0.2,17.52,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_254124,affare,0.2767,negative,0.4541,0.25,33.21,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259178,affare,0.2837,negative,0.2404,0.75,38.51,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_254459,affare,0.3698,negative,0.357,0.55,41.04,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129729,newkey,0.0,positive,0.2791,0.0,9.77,normal,[],xlm_roberta_mdeberta_v1,
newkey_130157,newkey,0.0,positive,0.331,0.25,17.84,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_0ff7ae1b5e1e,tunisieannonce,0.0,positive,0.333,0.0,11.65,normal,[],xlm_roberta_mdeberta_v1,
affare_255524,affare,0.0,positive,0.427,0.55,28.7,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257950,affare,0.6432,negative,0.399,0.55,53.44,fraud_likely,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,"Cette annonce immobilière est suspecte en raison de son score élevé de fraude (53.4/100), sentiment négatif (score 0.64), et des flags urgence détectée et contact externe. Le titre individuel, le prix négociable, l'absence d'informations complètes et la demande de contact par plusieurs moyens indiquent un risque élevé de fraude immobilière."
newkey_129653,newkey,0.0,positive,0.3573,0.45,23.76,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259181,affare,0.3596,negative,0.3446,0.0,26.44,suspect,[],xlm_roberta_mdeberta_v1,
affare_255449,affare,0.4153,negative,0.3774,0.55,43.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_239822,affare,0.0,positive,0.3622,0.55,26.43,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259185,affare,0.0,positive,0.285,0.0,9.97,normal,[],xlm_roberta_mdeberta_v1,
affare_220450,affare,0.433,negative,0.4357,0.55,46.32,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_1700,affare,0.0759,neutral,0.4201,0.55,31.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129734,newkey,0.0,positive,0.2816,0.25,16.11,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129334,newkey,0.0,positive,0.3129,0.2,15.95,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259189,affare,0.3491,negative,0.346,0.75,44.82,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257357,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
affare_259234,affare,0.074,neutral,0.4418,0.3,25.92,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
newkey_130156,newkey,0.0,positive,0.3185,0.2,16.15,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_248366,affare,0.0,positive,0.383,0.75,32.16,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257450,affare,0.3998,negative,0.3697,0.55,42.68,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259238,affare,0.0,positive,0.3607,0.0,12.62,normal,[],xlm_roberta_mdeberta_v1,
affare_259198,affare,0.0818,neutral,0.3498,0.3,23.02,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259243,affare,0.4845,negative,0.2466,0.75,46.76,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_129337,newkey,0.0,positive,0.2841,0.0,9.94,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_a77853c45490,tunisieannonce,0.0697,neutral,0.3723,0.55,29.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257369,affare,0.0,positive,0.3926,0.25,19.99,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259241,affare,0.3459,negative,0.33,0.55,39.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257399,affare,0.0,positive,0.3999,0.55,27.75,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259246,affare,0.3888,negative,0.2549,0.75,43.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_256795,affare,0.2306,negative,0.394,0.0,23.01,suspect,[],xlm_roberta_mdeberta_v1,
affare_236234,affare,0.0,positive,0.3981,0.2,18.93,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259199,affare,0.0761,neutral,0.3146,0.25,20.3,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129608,newkey,0.0,positive,0.3946,0.25,20.06,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129656,newkey,0.0,positive,0.3181,0.25,17.38,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_0f34ccae32a6,tunisieannonce,0.0,positive,0.3269,0.0,11.44,normal,[],xlm_roberta_mdeberta_v1,
affare_236238,affare,0.0,positive,0.3796,0.0,13.29,normal,[],xlm_roberta_mdeberta_v1,
newkey_130153,newkey,0.0,positive,0.3157,0.0,11.05,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_a594db9e20d5,tunisieannonce,0.0,positive,0.3598,0.25,18.84,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259298,affare,0.0,positive,0.3794,0.2,18.28,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259307,affare,0.0,positive,0.3702,0.0,12.96,normal,[],xlm_roberta_mdeberta_v1,
affare_257460,affare,0.3661,negative,0.3686,0.75,46.29,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_128424,newkey,0.0,positive,0.3335,0.0,11.67,normal,[],xlm_roberta_mdeberta_v1,
affare_257803,affare,0.3892,negative,0.3862,0.75,47.84,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259315,affare,0.2464,negative,0.3548,0.55,36.02,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259308,affare,0.2707,negative,0.2415,0.75,38.03,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259310,affare,0.3662,negative,0.4187,0.55,43.05,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259415,affare,0.0,positive,0.3882,0.0,13.59,normal,[],xlm_roberta_mdeberta_v1,
affare_259412,affare,0.5629,negative,0.3033,0.2,38.13,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259406,affare,0.0,positive,0.2979,0.2,15.43,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259417,affare,0.351,negative,0.3815,0.55,41.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259403,affare,0.0836,neutral,0.3406,0.55,29.02,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257683,affare,0.0,positive,0.4607,0.25,22.37,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259488,affare,0.0,positive,0.3242,0.0,11.35,normal,[],xlm_roberta_mdeberta_v1,
affare_259423,affare,0.0,positive,0.3522,0.0,12.33,normal,[],xlm_roberta_mdeberta_v1,
affare_257942,affare,0.0,positive,0.4062,0.55,27.97,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259419,affare,0.0,positive,0.3508,0.0,12.28,normal,[],xlm_roberta_mdeberta_v1,
affare_259418,affare,0.0,positive,0.3989,0.2,18.96,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259426,affare,0.0,positive,0.3884,0.2,18.59,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_257940,affare,0.0,positive,0.3721,0.55,26.77,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257932,affare,0.806,negative,0.4441,0.3,55.28,fraud_likely,"['urgency_detected', 'strong_negative_sentiment']",xlm_roberta_mdeberta_v1,
affare_254550,affare,0.0,positive,0.4238,0.75,33.58,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259430,affare,0.2437,negative,0.2466,0.75,37.13,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259483,affare,0.0696,neutral,0.4287,0.75,36.54,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257808,affare,0.4389,negative,0.3715,0.75,49.31,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_129704,newkey,0.0,positive,0.3188,0.0,11.16,normal,[],xlm_roberta_mdeberta_v1,
affare_258727,affare,0.3698,negative,0.3422,0.0,26.77,suspect,[],xlm_roberta_mdeberta_v1,
affare_259501,affare,0.0,positive,0.3532,0.75,31.11,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_256520,affare,0.3207,negative,0.4262,0.55,41.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259494,affare,0.2459,negative,0.3313,0.55,35.18,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258751,affare,0.0784,neutral,0.3718,0.55,29.9,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259560,affare,0.0,positive,0.4098,0.0,14.34,normal,[],xlm_roberta_mdeberta_v1,
affare_258568,affare,0.2426,negative,0.4313,0.55,38.55,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259502,affare,0.0,positive,0.3389,0.0,11.86,normal,[],xlm_roberta_mdeberta_v1,
affare_259507,affare,0.351,negative,0.3815,0.55,41.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259506,affare,0.2339,negative,0.3479,0.2,26.53,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_258612,affare,0.0,positive,0.3313,0.3,19.1,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_245971,affare,0.0,positive,0.3785,0.0,13.25,normal,[],xlm_roberta_mdeberta_v1,
affare_259508,affare,0.3004,negative,0.3443,0.75,42.82,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259504,affare,0.3998,negative,0.3698,0.55,42.69,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_128206,newkey,0.0,positive,0.2929,0.0,10.25,normal,[],xlm_roberta_mdeberta_v1,
affare_258700,affare,0.3448,negative,0.3529,0.0,26.14,suspect,[],xlm_roberta_mdeberta_v1,
affare_259515,affare,0.0,positive,0.2538,0.0,8.88,normal,[],xlm_roberta_mdeberta_v1,
affare_259551,affare,0.3846,negative,0.3619,0.75,46.8,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259554,affare,0.3888,negative,0.2549,0.75,43.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259200,affare,0.0805,neutral,0.4,0.25,23.47,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_243701,affare,0.4713,negative,0.3894,0.55,46.23,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_129686,newkey,0.0,positive,0.3051,0.0,10.68,normal,[],xlm_roberta_mdeberta_v1,
affare_256388,affare,0.0,positive,0.3046,0.55,24.41,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259566,affare,0.0,positive,0.3882,0.0,13.59,normal,[],xlm_roberta_mdeberta_v1,
affare_259563,affare,0.0,positive,0.3856,0.55,27.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259564,affare,0.0,positive,0.3421,0.0,11.97,normal,[],xlm_roberta_mdeberta_v1,
affare_259562,affare,0.0,positive,0.3471,0.0,12.15,normal,[],xlm_roberta_mdeberta_v1,
affare_259177,affare,0.4335,negative,0.3496,0.55,43.33,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258985,affare,0.0753,neutral,0.4087,0.55,31.07,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259565,affare,0.0,positive,0.3734,0.55,26.82,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258966,affare,0.3105,negative,0.3767,0.55,39.35,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_255747,affare,0.0,positive,0.2486,0.75,27.45,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259573,affare,0.0,positive,0.3156,0.25,17.3,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259670,affare,0.0,positive,0.4215,0.0,14.75,normal,[],xlm_roberta_mdeberta_v1,
affare_259569,affare,0.0,positive,0.3262,0.0,11.42,normal,[],xlm_roberta_mdeberta_v1,
affare_259175,affare,0.4072,negative,0.2846,0.75,45.0,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259186,affare,0.3568,negative,0.2903,0.55,38.18,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_246565,affare,0.0,positive,0.2314,0.25,14.35,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259568,affare,0.0,positive,0.423,0.55,28.55,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259671,affare,0.4086,negative,0.3269,0.75,46.54,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_136985,affare,0.0,positive,0.368,0.3,20.38,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_257892,affare,0.0,positive,0.4264,0.0,14.92,normal,[],xlm_roberta_mdeberta_v1,
affare_259184,affare,0.344,negative,0.3093,0.75,43.34,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_241651,affare,0.0,positive,0.2942,0.75,29.05,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_164918,affare,0.0,positive,0.2996,0.55,24.24,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259194,affare,0.0,positive,0.2949,0.0,10.32,normal,[],xlm_roberta_mdeberta_v1,
affare_259193,affare,0.0,positive,0.4101,0.0,14.35,normal,[],xlm_roberta_mdeberta_v1,
affare_256408,affare,0.4547,negative,0.352,0.3,38.01,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
century21_00449ec77402,century21,0.0,positive,0.3532,0.55,26.11,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
century21_012583dc5e95,century21,0.0,positive,0.416,0.2,19.56,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_4400,affare,0.0,positive,0.3449,0.0,12.07,normal,[],xlm_roberta_mdeberta_v1,
affare_259192,affare,0.0,positive,0.2528,0.2,13.85,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
century21_031b69100d7d,century21,0.0,positive,0.3679,0.0,12.88,normal,[],xlm_roberta_mdeberta_v1,
century21_02d29ba7dc54,century21,0.0821,neutral,0.3575,0.0,15.8,normal,[],xlm_roberta_mdeberta_v1,
affare_257444,affare,0.3323,negative,0.3545,0.55,39.45,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
century21_04dfaa09ef8f,century21,0.0,positive,0.3787,0.0,13.25,normal,[],xlm_roberta_mdeberta_v1,
century21_087f12b34209,century21,0.0,positive,0.365,0.3,20.27,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259196,affare,0.0,positive,0.3993,0.2,18.98,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259235,affare,0.2542,negative,0.429,0.3,32.68,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
century21_084a6d73e689,century21,0.0,positive,0.3904,0.2,18.66,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
century21_06bd1bf41367,century21,0.0,positive,0.3872,0.55,27.3,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
century21_077f2decb003,century21,0.0925,neutral,0.4036,0.0,17.83,normal,[],xlm_roberta_mdeberta_v1,
century21_07c08a212998,century21,0.0,positive,0.3458,0.2,17.1,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
century21_0dd2bb14d722,century21,0.0,positive,0.4017,0.0,14.06,normal,[],xlm_roberta_mdeberta_v1,
century21_1aba80c46649,century21,0.2587,negative,0.3231,0.2,26.66,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
century21_0918ae159c1c,century21,0.0814,neutral,0.3925,0.2,21.99,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259245,affare,0.2549,negative,0.2475,0.75,37.61,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_248970,affare,0.0,positive,0.3461,0.55,25.86,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
