"id","title","subtitle","price","transaction_type","property_type","location_details","municipality","surface","rooms","bedrooms","bathrooms","features","poi","description","url","image_path","images_folder","images_count","scraped_at","last_updated"
115,"A vendre S2 direct promoteur à la soukra","Tunisie","367000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","101",2,NULL,NULL,"{}","{}","La méditerranée Soukra vous propose a la vente un appartement S2 neuf  de 101 m2, située au RDC dans une résidence en R2 calme et bien sécurisée à la soukra . L'entrée mène à un salon spacieux doté d'une terrasse de 8 m2 . Une cuisine américaine bien équipée par une plaque de cuisson, une hotte aspirante et un four électrique. La partie nuit comprend une suite parentale , une chambre à coucher et une salle de bain avec baignoire . Une place de parking en sous-sol est disponible. L'appartement est équipé d'une climatisation split et un chauffage central","https://www.mubawab.tn/fr/a/8180401/a-vendre-s2-direct-promoteur-%C3%A0-la-soukra","media\apartment\115\image_001.jpg","media\apartment\115",10,"2026-02-18 09:41:52.740888","Unknown"
116,"A vendre s3 à la nouvelle soukra","Tunisie","430000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,3,"rangement",NULL,"{}","{}","La Méditerranéenne Immobilière vous propose à la vente un bel appartement S3 à La Soukra Situé dans une résidence sécurisée, bien entretenue et gardée, cet appartement offre un cadre de vie confortable et serein. Il bénéficie d’une orientation sud-est, offrant une belle luminosité tout au long de la journée. La pièce de vie, spacieuse et baignée de lumière grâce à de larges ouvertures, s’ouvre sur un balcon convivial, parfait pour profiter des beaux jours. Une salle d’eau pour les invités est également disponible. La cuisine est entièrement équipée (plaque de cuisson, hotte aspirante, four) et dispose d’un séchoir attenant. La partie nuit se compose de trois chambres à coucher, chacune équipée de son propre dressing. Elles se partagent une salle de bain commune, fonctionnelle et bien agencée. Pour un confort optimal, l’appartement est doté du chauffage central et de la climatisation en Split système. Deux places de parking ainsi qu’un cellier au sous-sol complètent ce bien.","https://www.mubawab.tn/fr/a/8192096/a-vendre-s3-%C3%A0-la-nouvelle-soukra","media\apartment\116\image_001.jpg","media\apartment\116",12,"2026-02-18 09:42:06.094138","Unknown"
117,"Un appartement s2 a vendre à soukra parc","Tunisie","395000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","110",2,NULL,NULL,"{}","{}","un appartement S2 de 110 m² dans une résidence moderne et sécurisée avec double ascenseur, à proximité de Carrefour. Il offre un salon lumineux avec balcon, une cuisine équipée (plaque, hotte, four) avec séchoir, deux chambres avec dressings, une salle de bain moderne et une place de parking en sous-sol. Spacieux, bien agencé et proche de toutes commodités, ce bien est parfait pour un confort quotidien, que ce soit pour votre résidence principale ou un investissement sûr","https://www.mubawab.tn/fr/a/8283546/un-appartement-s2-a-vendre-%C3%A0-soukra-parc","media\apartment\117\image_001.jpg","media\apartment\117",14,"2026-02-18 09:42:18.472648","Unknown"
118,"Projet sur plan à SOUKRA","Tunisie","345000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,1,"rangement",NULL,"{}","{}","Avec son architecture moderne et raffinée, la résidence s’intègre parfaitement à son environnement. Ses lignes épurées et contemporaines créent un cadre de vie agréable et serein, alliant confort et esthétisme. Elle représente un équilibre idéal entre simplicité, modernité et bien-être au quotidien. La résidence propose plusieurs typologies d’appartements : S1, S2, S3 et S4, pour répondre à tous les besoins.","https://www.mubawab.tn/fr/a/8290691/projet-sur-plan-%C3%A0-soukra","media\apartment\118\image_001.jpg","media\apartment\118",9,"2026-02-18 09:42:29.518016","Unknown"
119,"A vendre étage de villa S2 à AFH Mrezga","Tunisie","300000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","100",2,"rangement",NULL,"{}","{}","L’agence immobilière Le Boulevard vous propose : A #Vendre    #Référence : 1273a étage de villa S2 Haut Standing Situé à AFH Mrezge, Cité El Wafa, Nabeul Il se compose d'un salon avec balcon, 2 chambres à coucher avec dressing, une cuisine bien équipée (plaque, hotte…) et salle d’eau. •	Superficie : 100m² •	Chauffage central •	Climatiseur •	15 minutes de la plage à pied •	Proche de toutes les commodités (facultés, lycée, clinique, magasin, restaurant, banque…) •	Prix : 300.000 TND","https://www.mubawab.tn/fr/a/8233974/a-vendre-%C3%A9tage-de-villa-s2-%C3%A0-afh-mrezga","media\apartment\119\image_001.jpg","media\apartment\119",7,"2026-02-18 09:42:41.080839","Unknown"
120,"A vendre Appartement S3 à La Soukra","Tunisie","428000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","122",3,NULL,NULL,"{}","{}","L’agence immobilière Le Boulevard vous propose : A #Vendre           #Référence : 1240a Un appartement S3 haut standing Direct promoteur, dans une résidence bien sécurisée à Soukra, Tunis. Il se compose d'un salon, 2 Chambres à coucher, suite parentale, salle d’eau, balcon et d'une cuisine bien équipée (plaque, hotte, etc.). •	Une Parking au sous-sol sécurisé. •	Portes blindées et portes intérieures importées. •	Sanitaires et robinetterie de première qualité. •	Cuisines agencées et équipées : plaque, hotte et four inclus. •	Chauffage central et climatisation split installés. •	Faux plafonds généralisés. •	Menuiserie aluminium double vitrage et volets roulants électriques. •	Système d’alarme et caméras pour votre sécurité. •	Dressings agencés pour un rangement optimal. •	Parabole numérique déjà installée. •	Remise de clé : immédiate •	Superficie couverte : 122m² •	Prix : 428.000 TND","https://www.mubawab.tn/fr/a/8203633/a-vendre-appartement-s3-%C3%A0-la-soukra","media\apartment\120\image_001.jpg","media\apartment\120",9,"2026-02-18 09:42:51.309505","Unknown"
121,"A vendre appartement S2 au bord de la mer à Hammamet","Tunisie","520000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","110",2,"rangement",NULL,"{}","{}","L’agence immobilière Le Boulevard vous propose : A #Vendre       #Référence : 1299a Appartement S2 de très haut standing, situé dans une résidence bien sécurisée, au bord de la mer à Hammamet. Il se compose d'un salon avec balcon, deux chambres à coucher, salle de bain, une cuisine moderne et bien équipée. •	Superficie couverte : 110 m² •	Piscine au dernier étage avec espace de repas avec vue sur mer •	Climatiseurs •	Chauffage central •	Ascenseur •	A 400 mètres de la plage •	Résidence gardée avec caméras de surveillance et gardien jour & nuit •	Proche de toutes les commodité (magasin, restaurant, salon de thé, transport…) •	Titre foncier •	Prix : 520.000 TND y compris place de parking sous-sol","https://www.mubawab.tn/fr/a/8246835/a-vendre-appartement-s2-au-bord-de-la-mer-%C3%A0-hammamet","media\apartment\121\image_001.jpg","media\apartment\121",1,"2026-02-18 09:43:01.809609","Unknown"
122,"S3 en vente","Tunisie","220000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","100",3,NULL,NULL,"{}","{}","A Vendre , Un Appartement S3 entièrement rénové de 100m², offrant un cadre de vie agréable et lumineux. Il se compose d’un spacieux salon baigné de lumière naturelle avec balcon et grande fenêtre, de trois chambres à coucher confortables, d’une salle de douche ainsi que d’une cuisine aménagée et entièrement équipée (plaque de cuisson, hotte, four). Cet appartement allie fonctionnalité et confort, idéal pour une famille ou un investissement locatif.","https://www.mubawab.tn/fr/a/8304822/s3-en-vente","media\apartment\122\image_001.jpg","media\apartment\122",10,"2026-02-18 09:43:10.549651","Unknown"
123,"À Vendre Appartement S3 Centre ville de Tunis","Tunisie","170000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,3,NULL,NULL,"{}","{}","RE/MAX Masters vous propose à la vente un appartement S3 idéalement situé au cœur du centre-ville de Tunis, à proximité immédiate du Passage, dans un quartier vivant et bien desservi, proche de toutes les commodités (transports, commerces, écoles...). Caractéristiques principales : Au 1er étage Emplacement central et stratégique Convient aussi bien pour une résidence principale que pour un investissement locatif Pour plus d’informations ou pour organiser une visite, merci de contacter","https://www.mubawab.tn/fr/a/8159630/%C3%A0-vendre-appartement-s3-centre-ville-de-tunis","media\apartment\123\image_001.jpg","media\apartment\123",6,"2026-02-18 09:43:23.323138","Unknown"
124,"Jardins de Carthage – Vente directe promoteur","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,3,NULL,NULL,"{}","{}","Offre exceptionnelle en vente directe promoteur à Jardins de Carthage. Appartement témoin disponible pour visite. Les prix commencent à partir de 4900 DT/m² pour les appartements S3 et 5200 DT/m² pour les appartements S2. Des appartements S2 et S3 de haut standing, modernes et lumineux, sont proposés avec plusieurs superficies et orientations afin de s’adapter à tous les besoins. La résidence est située dans un environnement calme et verdoyant, à proximité immédiate de toutes les commodités. La remise des clés est prévue pour fin 2026.","https://www.mubawab.tn/fr/a/8286351/jardins-de-carthage-%E2%80%93-vente-directe-promoteur","media\apartment\124\image_001.jpg","media\apartment\124",9,"2026-02-18 09:43:33.691366","Unknown"
125,"A vendre appartement S4 à Lafayette","Tunisie","245000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,4,NULL,NULL,"{}","{}","La Méditerranée Immobilière vous propose à la vente un appartement S4 à 1er étage situé dans un immeuble près des toutes commodités au cœur de Lafayette, Tunis . Il se compose d'un salon lumineux avec balcon , une cuisine , trois chambres à coucher et une salle de bain et salle d'eau séparée.","https://www.mubawab.tn/fr/a/8304037/a-vendre-appartement-s4-%C3%A0-lafayette","media\apartment\125\image_001.jpg","media\apartment\125",6,"2026-02-18 09:43:45.167519","Unknown"
126,"S3 à vendre Sahlou 4","Tunisie","370000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","120",3,NULL,NULL,"{}","{}","À VENDRE – Appartement S3 à Sahloul 4 L’agence 1000 Immobilier vous propose un bel appartement S3 d’une superficie de 120 m², situé au 1er étage dans un quartier résidentiel calme et très recherché à Sahloul 4. Caractéristiques : Superficie : 120 m² Grand salon lumineux 3 chambres à coucher Cuisine indépendante 2 salles d’eau (salle de bain  salle de douche) Place de parking au sous-sol Prix : 370 000 DT Pour plus d’informations ou pour organiser une visite gratuite, contactez-nous au : 55 66 44 94 / 55 36 25 25 Adresse : Rue du Commandant Bejaoui, Sousse.","https://www.mubawab.tn/fr/a/8304750/s3-%C3%A0-vendre-sahlou-4","media\apartment\126\image_001.jpg","media\apartment\126",13,"2026-02-18 09:43:56.960735","Unknown"
127,"S2 de 115 m² à Jinene Soukra 1 Chotrana 3","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","115",2,NULL,NULL,"{}","{}","Découvrez cet appartement S2 de 115 m², situé au premier étage de la prestigieuse Résidence Jinene Soukra 1. Parfaitement implanté au cœur de Soukra, cet appartement offre un cadre de vie idéal dans un quartier dynamique et en plein essor. Conçu avec soin, cet appartement allie fonctionnalité et élégance. Il comprend un salon spacieux et lumineux, une cuisine fonctionnelle, deux chambres confortables et une salle de bain contemporaine. Chaque espace a été pensé pour offrir un équilibre harmonieux entre confort et esthétique. Ne manquez pas l'opportunité de devenir propriétaire de cet appartement exceptionnel à la Résidence Jinene Soukra 1. Profitez des nombreuses commodités de la résidence pour enrichir votre quotidien. Contactez-nous dès maintenant pour en savoir plus sur cet appartement et explorez toutes les possibilités qu'il vous offre. Nous sommes impatients de vous accompagner dans la réalisation de votre projet de vie.","https://www.mubawab.tn/fr/pa/7937996/s2-de-115-m%C2%B2-%C3%A0-jinene-soukra-1-chotrana-3","media\apartment\127\image_001.jpg","media\apartment\127",28,"2026-02-18 09:44:24.649553","Unknown"
128,"Superbe appartement à vendre à Sousse Jaouhara. Avec place d...","Tunisie","333000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","116",3,"rangement",NULL,"{}","{}","Agréable appartement à vendre. Prix 333 000 TND. 3 pièces, 1 salle de bains, 116 m². 2 chambres. 4ème étage. Moins d'un an. Bénéficiez du calme absolu avec fenêtres en double vitrage. Porte blindée et chauffage central. Venez découvrir cet appartement à vendre à Sousse Jaouhara. Équipé d'une parabole. La résidence est sécurisée. Nombreux équipements dont climatisation. La résidence dispose également d'un service de conciergerie. Soyez le premier à visiter cet appartement en vente. Ascenseur dans la résidence. Confortable salon européen. Cuisine bien équipée.","https://www.mubawab.tn/fr/pa/8130943/superbe-appartement-%C3%A0-vendre-%C3%A0-sousse-jaouhara-avec-place-de-parking","media\apartment\128\image_001.jpg","media\apartment\128",17,"2026-02-18 09:44:51.192603","Unknown"
132,"Appartement S3 aux berges du lac 2","Tunisie","1400000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,3,NULL,NULL,"{}","{}","La Méditerranée Immobilière Lac 2, vous propose à la vente un magnifique appartement S3 au cinq'éme étage dans une résidence calme et sécurisée aux Berges du Lac 2 . Il se compose: un grand salon lumineux donnant accès sur un balcon. Une salle d'eau pour les invités, une cuisine équipée avec un séchoir . La partie nuit dispose d'une suite parentale , deux chambres à coucher avec des dressings et avec une salle de bain commune. L'appartement est équipé de chauffage central et des climatiseurs ainsi que deux places de parking .","https://www.mubawab.tn/fr/a/8247178/appartement-s3-aux-berges-du-lac-2","media\apartment\132\image_001.jpg","media\apartment\132",4,"2026-02-18 09:45:59.97459","Unknown"
133,"S4 de 233 m² aux Jardins de Carthage","Tunisie","840000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","233",4,NULL,NULL,"{}","{}","Darcom Tunisia vous propose à la vente un bel appartement s4 d’une superficie de 233 m²,  situé dans une résidence gardée et sécurisée dotée d’un bon emplacement aux Jardins de Carthage. L'appartement se compose comme suit : La partie jour se compose d’un salon lumineux ouvrant sur une belle terrasse, une cuisine aménagée et équipée avec séchoir , double dressings dans le hall, une salle d’eau d’invités avec douche ainsi qu’une chambre de service avec rangements. La partie nuit se compose d’une suite parentale avec salle de bain, balcon et dressings, ainsi que trois chambres à coucher chacune avec dressing et qui se partagent une salle de bain. -Deux places parking sous-sol sont à disposition. -système central (climatisation/chauffage) installé Si vous souhaitez visiter le bien n’hésitez pas à nous contacter","https://www.mubawab.tn/fr/a/8281528/s4-de-233-m%C2%B2-aux-jardins-de-carthage","media\apartment\133\image_001.jpg","media\apartment\133",16,"2026-02-18 09:46:08.803132","Unknown"
129,"S3 de 193,84 m² vue panoramique Lac II","Tunisie","1330000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","193.84",3,"rangement",NULL,"{}","{}","Darcom Tunisia vous propose à la vente un appartement S3 d’une superficie de 193,84 m², avec une grande terrasse de 105,47 m² offrant une vue panoramique exceptionnelle sur Lac. Situé au Lac II, au dernier étage d’une petite résidence, avec un seul appartement par niveau, ce bien traversant, bénéficiant d’une double orientation, se distingue par sa luminosité naturelle et son calme. Il se compose de : •     Un hall d’entrée donnat sur un espace de vie lumineux •     Un vaste salon ouvrant sur la grande terrasse avec vue dégagée sur le lac et offrant une luminosité exceptionnelle tout au long de la journée •    Une cuisine rénovée, aménagée et équipée, avec séchoir attenant et chambre de service •    Une salle d’eau pour invités •    Une suite parentale avec dressings et salle de bain/ double vasque •    Deux chambres à coucher, chacune avec dressing, se partageant une salle de douche •    Système central de climatisation et chauffage installé ​​​​​L’appartement dispose également de deux places de parking sous-sol et d’un cellier","https://www.mubawab.tn/fr/a/8242533/s3-de-193-84-m%C2%B2-vue-panoramique-lac-ii","media\apartment\129\image_001.jpg","media\apartment\129",16,"2026-02-18 09:45:10.912633","Unknown"
130,"Duplex en cours de finition Jardins de Carthage","Tunisie","1650000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","244.37",NULL,NULL,NULL,"{}","{}","Darcom Tunisia vous propose à la vente un joli Duplex en cours de finition d’une superficie de 244,37 m²  un jardin avec piscine de 73 m² , situé dans une petite résidence gardée et sécurisée dotée d’un bon emplacement aux Jardins de Carthage. RDC : un salon lumineux ouvrant sur un jardin avec piscine, une cuisine séparée aménagée et richement équipée, une chambre d'invités avec dressing et une salle d’eau avec douche. L’étage : une suite parentale avec des dressings et disposant d’une salle de douche privative, deux chambres à coucher avec dressing et dont une avec balcon, ainsi qu'une salle de bain commune. Une place de parking sous-sol et un cellier sont disponibles Si vous souhaitez visiter le bien n’hésitez pas à nous contacter","https://www.mubawab.tn/fr/a/8281314/duplex-en-cours-de-finition-jardins-de-carthage","media\apartment\130\image_001.jpg","media\apartment\130",11,"2026-02-18 09:45:32.034877","Unknown"
131,"S3 RDC Jardins de Carthage","Tunisie","675000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","158",3,NULL,NULL,"{}","{}","Darcom Tunisia met à la vente un bel appartement en très bon état de 158 m², initialement S3 et transformé en un spacieux S2, situé au rez-de-chaussée d’une petite résidence très bien entretenue et bien située aux Jardins de Carthage. Espace de vie généreux : Un salon ouvert sur une ancienne chambre à coucher avec dressing entièrement réaménagée en séjour, créant un grand volume convivial, avec accès direct à une terrasse avec beau potentiel d'aménagement (espace vert, pots de plantes, coin détente). Une cuisine indépendante équipée et agencée avec un grand séchoir  buanderie Une salle d’eau invités Espace nuit : •    Une suite parentale avec dressing et salle de douche privative •    Une chambre à coucher •    Une salle de douche commune Une place de parking au sous-sol est incluse Si vous souhaitez visiter le bien, n'hésitez pas à nous contacter","https://www.mubawab.tn/fr/a/8257777/s3-rdc-jardins-de-carthage","media\apartment\131\image_001.jpg","media\apartment\131",13,"2026-02-18 09:45:47.169037","Unknown"
134,"S2 – Résidence L’Ultime, Projet Diar Rached","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,2,NULL,NULL,"{}","{}","Découvrez ce superbe S+2 au sein de la Résidence L’Ultimate, un projet alliant élégance, confort et modernité. Conçu pour offrir un cadre de vie agréable, cet appartement se distingue par des espaces bien agencés et des finitions haut de gamme. Caractéristiques : Salon spacieux et lumineux, idéal pour des moments de convivialité. Cuisine équipée, alliant design et fonctionnalité. Deux chambres confortables, l'une est une suite parentale ,offrant calme et intimité. Salle de bain moderne, avec des équipements de qualité. Finitions raffinées et matériaux haut de gamme. Atouts de la résidence : Architecture contemporaine et conception soignée. Sécurité 24h/24 pour un cadre de vie serein. Espaces communs élégants et entretenus. Emplacement stratégique, à proximité des commodités essentielles. Idéal pour une résidence principale ou un investissement, ce S+2 offre un équilibre parfait entre praticité, confort et raffinement.","https://www.mubawab.tn/fr/pa/8106981/s2-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached","media\apartment\134\image_001.jpg","media\apartment\134",6,"2026-02-18 09:46:24.96418","Unknown"
135,"S2 de 114m² et au 1er étage à vendre","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","114",2,"rangement",NULL,"{}","{}","La Résidence Marbella est un projet pensé pour allier confort, sérénité et bien-être au quotidien. Profitez d’un cadre moderne avec parking sous-sol sécurisé et celliers privés, dans des appartements aux prestations soignées et ergonomiques. Nos appartements type S+2 (Salon et 2 chambres) offrent des espaces lumineux et conviviaux, avec des environnements propices aux moments de détente et aux balades en famille. Surface disponible : de 99 à 119 m² « Pour d’amples informations, n'hésitez pas à nous contacter au +216 98 780 888 ou par e-mail à commercial@cipolin-immobilier.com. Site web : cipolin-immobilier.com. »","https://www.mubawab.tn/fr/pa/8270426/s2-de-114m%C2%B2-et-au-1er-%C3%A9tage-%C3%A0-vendre","media\apartment\135\image_001.jpg","media\apartment\135",17,"2026-02-18 09:46:36.885658","Unknown"
136,"Appartement S3 de prestige","Tunisie","Prix à consulter","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","165",3,"rangement",NULL,"{}","{}","Découvrez ce superbe appartement S+3 de 165 m², situé aux 1er et 2ème étages de la Résidence Panthéon, une résidence R+4 de très haut standing offrant des prestations premium telles qu’une piscine couverte et une salle de sport exclusivement réservées aux résidents. Conçu pour offrir confort, élégance et bien-être, l’appartement se distingue par des espaces lumineux, une distribution harmonieuse et des finissions soignées. Il se compose comme suit : Espace jour : Un salon et salle à manger spacieux, ouvrant sur un balcon Une cuisine moderne entièrement équipée avec séchoir Une salle d’eau pour les invités Une chambre de service offrant un espace supplémentaire pratique Espace nuit : Deux chambres avec dressing Une salle de bain commune Une suite parentale avec dressing et douche à l’italienne, garantissant confort et intimité Cet appartement allie prestations haut de gamme, espaces fonctionnels et design élégant, au sein d’un environnement sécurisé et prestigieux, idéal pour ceux qui recherchent luxe et sérénité au quotidien. Ne ratez pas cette opportunité. Pour organiser une visite, contactez-nous dès maintenant au 24 17 16 16 et laissez-vous séduire par ce bien unique.","https://www.mubawab.tn/fr/pa/7845710/appartement-s3-de-prestige","media\apartment\136\image_001.jpg","media\apartment\136",11,"2026-02-18 09:46:51.532379","Unknown"
138,"À vendre un appartement S1 à Ennasr 1","Tunisie","285000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","84.13",1,NULL,NULL,"{}","{}","A vendre – Appartement S1 avec grande terrasse à Ennasr 1 Mami Immo met en vente un appartement S1 situé au 3ᵉ étage à Ennasr 1, dans un emplacement stratégique et très recherché Superficie : 84,13 m² bâtis 44 m² de terrasse 128,13 m² au total Composition : Salon lumineux avec accès au balcon Cuisine fonctionnelle Chambre à coucher confortable Salle de bain Grande terrasse idéale pour aménager un espace détente Place de parking incluse Appartement idéal pour habitation ou investissement locatif, situé à proximité de toutes les commodités (commerces, transports, écoles, cafés…). Prix : 285 000 DT - Contact  28 276 236 - Visitez notre site web : www.mamiimmo.tn","https://www.mubawab.tn/fr/a/8303407/%C3%A0-vendre-un-appartement-s1-%C3%A0-ennasr-1","media\apartment\138\image_001.jpg","media\apartment\138",7,"2026-02-18 09:47:15.111569","Unknown"
139,"A vendre appartement S2 à la Marsa","Tunisie","550000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie",NULL,2,NULL,NULL,"{}","{}","Zephyr Immo vous propose à la vente un appartement S2 situé au 1er étage d’une résidence sécurisée à la Marsa. Cet appartement se compose d’un salon qui donne sur un  balcon, d’une salle d’eau invités , d’une cuisine équipée, de deux chambres et d’ une salle de bain commune. Une place de parking est disponible au sous-sol","https://www.mubawab.tn/fr/a/8270110/a-vendre-appartement-s2-%C3%A0-la-marsa","media\apartment\139\image_001.jpg","media\apartment\139",9,"2026-02-18 09:47:27.26311","Unknown"
140,"A vendre un Duplex à Sidi Daoud","Tunisie","650000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","172",NULL,NULL,NULL,"{}","{}","Zephyr Immo vous propose à la vente un duplex lumineux situé au 2ᵉ étage d’une résidence calme et sécurisée à Sidi Daoud., D’une superficie totale de 172 m², il se compose comme suit : -	 Rez-de-chaussée : un salon et une salle à manger ouvrant sur un balcon, une chambre, une salle d’eau invités et une cuisine entièrement équipée. -	 À l’étage : trois chambres confortables et une salle de bain. Ce duplex allie confort, fonctionnalité et emplacement privilégié, à proximité de toutes les commodités.","https://www.mubawab.tn/fr/a/8236144/a-vendre-un-duplex-%C3%A0-sidi-daoud","media\apartment\140\image_001.jpg","media\apartment\140",15,"2026-02-18 09:47:37.240274","Unknown"
141,"Duplex S4 haut standing Riadh Landalous","Tunisie","500000 TND","sale","apartment","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","174",4,NULL,NULL,"{}","{}","REF: AVM02039 Perla Immo met en vente ; Un Duplex S4 haut standing Situé entre Riadh Landalous et ghazela En rez de chaussée et premier étage avec une entrée indépendante Résidence R3 bien sécurisée. Très bonne orientation, bien ensoleillé Description: En rez de chaussée: Un salon, salle à manger Une cuisine bien équipée avec séchoir Une chambre à coucher. Une salle d’eau. A l’étage: Une suite parentale avec douche Deux chambres à coucher Une salle de bain Superficie totale: 174 m² Superficie couverte: 147 m² Deux climatiseurs Chauffage central Prix : 500000 dt Parking: 2 places parking sous-ol Jardin - Bati: 2019 Contact: 20338278 ou 98617607 ou 71 717 175","https://www.mubawab.tn/fr/a/8303115/duplex-s4-haut-standing-riadh-landalous","media\apartment\141\image_001.jpg","media\apartment\141",10,"2026-02-18 09:47:49.518323","Unknown"
734,"Vente de terrain à Cité Bou Akroucha. Surface de 256 m²","Tunisie","Prix à consulter","sale","land","{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}","Tunisie","256",NULL,NULL,NULL,"{}","{}","Lots de Terrains viabilisés à vendre à partir de 117m² jusqu'à  256m² à Mohamedia.","https://www.mubawab.tn/fr/pa/7942029/vente-de-terrain-%C3%A0-cit%C3%A9-bou-akroucha-surface-de-256-m%C2%B2","media\land\734\image_001.jpg","media\land\734",2,"2026-02-18 16:13:00.574707","Unknown"
